id,product_name,product_url,description,provider,pricing_model,source_url,source_record_id,collectedAt
a3eb6240-84dc-55b1-b6af-a82351765265,scrip-ai,https://scripai.com,Free AI writer for creating viral short video scripts and AI content.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:1,2026-08-27T12:07:08+00:00
9743742e-a1c0-5a9b-8dc5-f25db7c9417f,quickads,https://www.quickads.ai,AI ad generator for creating image and video ads quickly and efficiently.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:2,2026-08-27T12:07:08+00:00
da9ca2d3-12fb-517b-8ea6-3af59964d50a,wonderchat,https://wonderchat.io,AI Chatbot builder to create custom ChatGPT chatbots from website links or PDFs.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:3,2026-08-27T12:07:08+00:00
0ef86ec3-31c1-5cd8-976a-011f266f04b1,blobr,https://blobr.io,AI agents to optimize Google Ads spending 24/7.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:5,2026-08-27T12:07:08+00:00
162d5455-01b1-5e7e-a5ca-d7ddaf320b24,pencil,https://trypencil.com,AI ad generator for faster ad creation and improved performance.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:6,2026-08-27T12:07:08+00:00
0b1efaf9-7a88-599b-b048-cc6b1c836539,freeadcopy-com,https://freeadcopy.com,Free AI copy generator using GPT-4 to create high-converting ad copy.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:7,2026-08-27T12:07:08+00:00
32c974c0-b3d9-5d59-8978-5eb8134ff8a6,marpipe-com,https://www.marpipe.com/schedule-ec,Marpipe uses AI to optimize and control Dynamic Product Ads for brands.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:8,2026-08-27T12:07:08+00:00
7dc9486f-57a3-5049-a066-2f915d69c99b,omneky,https://www.omneky.com,AI-powered platform to scale and optimize ad campaigns with creative automation and brand management.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:9,2026-08-27T12:07:08+00:00
e3f5298b-ba55-5f2c-a431-70f2c5c61164,kilo-ai,https://kilocode.ai,"Open-source AI coding assistant for VS Code, enhancing coding efficiency and automation.",,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:10,2026-08-27T12:07:08+00:00
81e3fc3a-e17f-515c-ba7a-984374052c55,30characters,https://30chars.com,AI-powered Google Ads copy generator for efficient and effective ad creation.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:11,2026-08-27T12:07:08+00:00
dc4c43cd-ef2b-5489-abb9-8994b6eda75a,adbot-your-search-ads-specialist,https://myadbot.com,Adbot automates and optimizes online advertising campaigns using AI for small businesses.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:12,2026-08-27T12:07:08+00:00
6a5302a9-aa73-5dfa-8bac-301c52e9cde3,copycop,https://copycopai.com,AI tool for generating compliant and high-converting Facebook ad copy.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:13,2026-08-27T12:07:08+00:00
80cd8206-3728-53e4-b760-a6b957f1615b,engagexai,https://engagexai.com,"EngagexAI automates ad creation with AI for fast, high-quality content generation.",,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:15,2026-08-27T12:07:08+00:00
6a65dd6e-05c9-5086-9628-3f31b45d524e,ai-suggests,https://ai-suggests.com,AI-powered platform for generating unlimited content and ideas for web creators.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:16,2026-08-27T12:07:08+00:00
6ef4932f-0a20-5265-828e-21c7532bf5ca,adcopy-ai,https://adcopy.ai,AI-powered ad copy and campaign management tools for increased conversions and efficient scaling on Meta.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:17,2026-08-27T12:07:08+00:00
d3386482-bc9b-5d38-947e-970d697b2eb4,write-conch-ai,https://www.writeconch.ai,"AI writing assistant with essay writing, content rewriting, and AI detection tools.",,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:19,2026-08-27T12:07:08+00:00
83be955d-f14d-5c8c-9f8b-16690bb34320,copyflow-pro,https://www.copyflowpro.com,AI-powered tool to generate targeted PPC ad copy and improve ad campaign efficiency.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:20,2026-08-27T12:07:08+00:00
bb2f0602-bc73-56b6-9d6a-62baf0b23d64,ogilvy,https://ogilvyapp.com,AI-powered text editor to boost conversion sales and improve copywriting.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:21,2026-08-27T12:07:08+00:00
110cbe94-7a8c-5dac-9407-403328ffbca5,salesboosta-com,https://salesboosta.com,AI copywriting tool for generating sales-focused content quickly in 106+ languages.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:22,2026-08-27T12:07:08+00:00
c2af479b-fc5f-585e-8bbf-9a220148ff71,ezra-ads,https://www.heyezra.co,AI platform generating high-quality static Meta ad creatives fast.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:23,2026-08-27T12:07:08+00:00
d6f73e69-248b-548d-be12-badb6e6e0139,pixcanva,https://www.pixcanva.com,"PixCanva AI generates QR codes, realistic images, removes backgrounds, and offers face swap.",,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:25,2026-08-27T12:07:08+00:00
5a924147-d23e-594f-8944-a13293fbd4a1,copywritergpt-io,https://www.copywritergpt.io,AI-powered copywriting tool for creating compelling marketing and promotional content.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:26,2026-08-27T12:07:08+00:00
11f48625-8504-516c-8f24-45a7171c3508,azameo-fr,https://azameo.fr,AI-driven ad platform for creating and managing high-converting ad campaigns.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:27,2026-08-27T12:07:08+00:00
d9de3682-f4b7-50aa-857e-3c622713116c,wordcopyai,https://www.wordcopyai.com,AI-powered copywriting app for iOS to automate ad copy creation and drive conversions.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:28,2026-08-27T12:07:08+00:00
ce2acd3d-5db9-5535-8ece-7c55eb18d3ff,adgeneratorpro,https://adgenerator.pro,AI-powered solution to generate Google Ads copy quickly.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:29,2026-08-27T12:07:08+00:00
fd6b99e9-9ea5-5f77-a85a-ce471d66a67b,macbeth-ai,https://macbeth.ai,"Macbeth AI is an AI assistant for generating high-quality content, code, and images.",,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:30,2026-08-27T12:07:08+00:00
e2c14234-1043-5bde-982b-15315b516ee6,isavantai,https://isavant.ai,"AI writing assistant for content, transcription, and text-to-speech.",,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:32,2026-08-27T12:07:08+00:00
34de811c-95bc-5f5e-bac8-13da18fb9492,unbound,http://unboundcontent.ai,AI-powered platform for automated content creation and AI assistance.,,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:34,2026-08-27T12:07:08+00:00
244547f2-56d7-53f8-8e95-c16ae0ff1c04,powered-by-agency,https://poweredby.agency,"Custom AI agent solutions for SMBs, specializing in automation across multiple channels.",,,https://github.com/lakey009/AI-Tools-List/blob/ccdff902d7e77774df46e66761e811ada4838ea1/AIToolsList.json,ai-tools-list:AIToolsList.json:35,2026-08-27T12:07:08+00:00
